Wavelength,Total
"424,97","0,485191335206966"
"425,259","0,486620374740788"
"425,548","0,486577367464292"
"425,837","0,48484769350226"
"426,127","0,484024103143335"
"426,416","0,485077863104382"
"426,705","0,483667452818545"
"426,994","0,481780652764454"
"427,283","0,480205855821257"
"427,572","0,48101361339021"
"427,861","0,480100559778889"
"428,151","0,481589393091148"
"428,44","0,482010924563484"
"428,729","0,481705255841617"
"429,018","0,480230652843116"
"429,307","0,481961461484708"
"429,596","0,48055934868899"
"429,885","0,480932893783009"
"430,173","0,48169690617019"
"430,462","0,481701200743249"
"430,751","0,480432770093109"
"431,04","0,479146825017116"
"431,329","0,47707738700617"
"431,618","0,477625038613834"
"431,907","0,478000252617948"
"432,195","0,476493854500679"
"432,484","0,477566518844812"
"432,773","0,476334874093481"
"433,062","0,474993071644301"
"433,35","0,475839554865907"
"433,639","0,474152832514707"
"433,928","0,473206200935102"
"434,216","0,473055208019743"
"434,505","0,472137918152503"
"434,794","0,47028985683815"
"435,082","0,472047137753768"
"435,371","0,47162400351698"
"435,659","0,469794159066185"
"435,948","0,470207092704799"
"436,236","0,471359235815441"
"436,525","0,470286609900762"
"436,813","0,46743692038505"
"437,102","0,46570091296344"
"437,39","0,46513330908211"
"437,678","0,466591771914152"
"437,967","0,465747597676227"
"438,255","0,46551900044952"
"438,544","0,466249643478623"
"438,832","0,464267613754742"
"439,12","0,463402748112536"
"439,408","0,462621164665767"
"439,697","0,462550984390003"
"439,985","0,46261620453545"
"440,273","0,463627441086758"
"440,561","0,462756582110961"
"440,85","0,461767351819784"
"441,138","0,461434878245309"
"441,426","0,461222813399991"
"441,714","0,45990990397732"
"442,002","0,457597202925318"
"442,29","0,458869338567971"
"442,578","0,459534058238139"
"442,866","0,459871624425759"
"443,154","0,45883600478698"
"443,442","0,458037950946292"
"443,73","0,456561301201838"
"444,018","0,456927390667131"
"444,306","0,455336880332309"
"444,594","0,454290134842637"
"444,882","0,45334809260969"
"445,17","0,453434879108839"
"445,458","0,454485199963425"
"445,745","0,453401845729548"
"446,033","0,451273551307056"
"446,321","0,451659593458649"
"446,609","0,452139361643622"
"446,896","0,453566872133174"
"447,184","0,45337852757719"
"447,472","0,451799441437814"
"447,76","0,452929610594699"
"448,047","0,451476911127892"
"448,335","0,449352232844931"
"448,622","0,448979480617747"
"448,91","0,449706360006995"
"449,198","0,447409203012311"
"449,485","0,445325423149223"
"449,773","0,446538397849354"
"450,06","0,448840667479914"
"450,348","0,448785366048842"
"450,635","0,446259386408864"
"450,923","0,446680557845074"
"451,21","0,446857117997256"
"451,498","0,4456730720035"
"451,785","0,444413085663915"
"452,072","0,443907919303298"
"452,36","0,443070378206473"
"452,647","0,441793027519715"
"452,934","0,439366579884172"
"453,222","0,43897654741502"
"453,509","0,440848129600919"
"453,796","0,441913555148301"
"454,083","0,439113971842428"
"454,37","0,438838294113189"
"454,658","0,437773179845157"
"454,945","0,436812913793671"
"455,232","0,436745858503317"
"455,519","0,438334092129629"
"455,806","0,437702483579235"
"456,093","0,436958453753339"
"456,38","0,4361877992512"
"456,667","0,43444321310203"
"456,954","0,433170735867508"
"457,241","0,431075813888331"
"457,528","0,430283022696852"
"457,815","0,429622938574848"
"458,102","0,429552694720066"
"458,389","0,429560910510494"
"458,676","0,430346937900674"
"458,963","0,429371207334536"
"459,25","0,427117431698193"
"459,537","0,428020559836545"
"459,823","0,425533739554641"
"460,11","0,42244004500059"
"460,397","0,422035929139509"
"460,684","0,422868386277728"
"460,97","0,422252002120776"
"461,257","0,423081036232893"
"461,544","0,422222902384868"
"461,83","0,422844584904779"
"462,117","0,423282709764241"
"462,404","0,421501898751198"
"462,69","0,420826270036926"
"462,977","0,421731434975222"
"463,263","0,420997437918875"
"463,55","0,420053180986896"
"463,837","0,419420716109165"
"464,123","0,417710440530242"
